Colex_Key,dataset_ID,Form,Colex_IDs,Num_concepts,Concept_names,Semantic_field,Ontological_category
stan1295_Grab,ids,Grab,"{'1176', '1773'}",2,"['SPADE', 'GRAVE']","['Agriculture and vegetation', 'The body']","['Person/Thing', 'Person/Thing']"
stan1295_Graben,ids,Graben,"{'1418', '2002'}",2,"['DIG', 'DITCH']","['Agriculture and vegetation', 'Agriculture and vegetation']","['Action/Process', 'Person/Thing']"
stan1295_Haar,ids,Haar,"{'580', '2648'}",2,"['FUR', 'HAIR (HEAD)']","['The body', 'The body']","['Person/Thing', 'Person/Thing']"
stan1295_Hacke,ids,Hacke,"{'284', '980'}",2,"['HOE', 'HEEL']","['Agriculture and vegetation', 'The body']","['Person/Thing', 'Person/Thing']"
stan1295_Haut,ids,Haut,"{'580', '763', '629', '2613'}",4,"['FUR', 'SKIN', 'LEATHER', 'SKIN (HUMAN)']","['The body', 'The body', 'Clothing and grooming', 'The body']","['Person/Thing', 'Person/Thing', 'Person/Thing', 'Person/Thing']"
stan1295_Hengst,ids,Hengst,"{'936', '615'}",2,"['STALLION', 'HORSE']","['Animals', 'Animals']","['Person/Thing', 'Person/Thing']"
stan1295_Himmel,ids,Himmel,"{'1732', '1565'}",2,"['SKY', 'HEAVEN']","['Religion and belief', 'The physical world']","['Person/Thing', 'Person/Thing']"
stan1295_Horn,ids,Horn,"{'2136', '1393'}",2,"['BRASS INSTRUMENT (HORN OR TRUMPET)', 'HORN (ANATOMY)']","['Speech and language', 'The body']","['Person/Thing', 'Person/Thing']"
stan1295_Huhn,ids,Huhn,"{'1514', '1318'}",2,"['HEN', 'CHICKEN']","['Animals', 'Animals']","['Person/Thing', 'Person/Thing']"
stan1295_Jahr,ids,Jahr,"{'1276', '1318', '1226'}",3,"['AUTUMN', 'CHICKEN', 'YEAR']","['Time', 'Animals', 'Time']","['Person/Thing', 'Person/Thing', 'Person/Thing']"
stan1295_Junge,ids,Junge,"{'76', '1366'}",2,"['YOUNG MAN', 'BOY']","['Kinship', 'Kinship']","['Person/Thing', 'Person/Thing']"
stan1295_Kamin,ids,Kamin,"{'1305', '185'}",2,"['CHIMNEY', 'FIREPLACE']","['The house', 'The house']","['Person/Thing', 'Person/Thing']"
stan1295_Kiefer,ids,Kiefer,"{'1740', '798'}",2,"['PINE', 'JAW']","['Agriculture and vegetation', 'The body']","['Person/Thing', 'Person/Thing']"
stan1295_Kind,ids,Kind,"{'1801', '1304'}",2,"['CHILD (DESCENDANT)', 'CHILD (YOUNG HUMAN)']","['Kinship', 'Kinship']","['Person/Thing', 'Person/Thing']"
stan1295_Kupfer,ids,Kupfer,"{'3192', '1825'}",2,"['BRONZE OR COPPER', 'COPPER']","['Basic actions and technology', 'The physical world']","['Person/Thing', 'Person/Thing']"
stan1295_Land,ids,Land,"{'1300', '626'}",2,"['COUNTRY', 'LAND']","['Social and political relations', 'The physical world']","['Person/Thing', 'Person/Thing']"
stan1295_Leinen,ids,Leinen,"{'3462', '3315'}",2,"['FLAX OR LINEN', 'FLAX']","['Agriculture and vegetation', 'Agriculture and vegetation']","['Person/Thing', 'Person/Thing']"
stan1295_Licht,ids,Licht,"{'1273', '630'}",2,"['CANDLE', 'LIGHT (RADIATION)']","['The house', 'The physical world']","['Person/Thing', 'Person/Thing']"
stan1295_Magen,ids,Magen,"{'2114', '819'}",2,"['BELLY OR STOMACH', 'STOMACH']","['The body', 'The body']","['Person/Thing', 'Person/Thing']"
stan1295_Mann,ids,Mann,"{'1554', '1200'}",2,"['MAN', 'HUSBAND']","['Kinship', 'Kinship']","['Person/Thing', 'Person/Thing']"
stan1295_Mädchen,ids,Mädchen,"{'1646', '77'}",2,"['GIRL', 'YOUNG WOMAN']","['Kinship', 'Kinship']","['Person/Thing', 'Person/Thing']"
stan1295_Messer,ids,Messer,"{'1352', '3210'}",2,"['KNIFE', 'KNIFE (FOR EATING)']","['Food and drink', 'Food and drink']","['Person/Thing', 'Person/Thing']"
stan1295_Nagel,ids,Nagel,"{'502', '1258'}",2,"['NAIL (TOOL)', 'FINGERNAIL']","['Basic actions and technology', 'The body']","['Person/Thing', 'Person/Thing']"
